Scenario,Region,Variable,Unit,2019,2024,2030,2035,2040,2050
baseline_noce,AFW,Final Energy|Commercial|Gases,EJ/yr,,8.24285299372723e-05,0.000207159879345575,0.000353674224037827,0.0005427765436507291,2.49732088740942e-09
baseline_noce,AFW,Final Energy|Commercial|Gases|Gas,EJ/yr,,8.24285299372723e-05,0.000207159879345575,0.00035367402916887603,0.000542775888436276,2.36092618551556e-09
baseline_noce,AFW,Final Energy|Commercial|Hydrogen,EJ/yr,,2.08891956701684e-08,2.53217000559271e-10,2.87167666240616e-10,2.87610958870229e-10,1.57548773119632e-10
baseline_noce,AFW,Final Energy|Commercial|Heat,EJ/yr,,0.000114099295960087,0.000286686165147022,0.000489445500001713,0.000751141803279341,0.0015251959561826001
baseline_noce,AFW,Final Energy|Commercial|Liquids,EJ/yr,0.00837200018056071,0.0039492846999523,0.0013886623359916398,0.000796583704995381,7.03911494417402e-10,1.88886762083432e-09
baseline_noce,AFW,Final Energy|Commercial|Liquids|Oil,EJ/yr,0.00837200018056071,0.0039492846999523,0.0013886623359916398,0.000796583563476846,7.03911494417402e-10,1.88886762083432e-09
baseline_noce,AFW,Final Energy|Commercial|Solids,EJ/yr,0.11294599998532501,0.107529613189659,0.102804644970167,0.0908430057610186,0.0702930410452539,6.74781483464694e-10
baseline_noce,AFW,Final Energy|Transportation|Electricity,EJ/yr,6.900000000000001e-05,0.000191920373834784,0.00057888346378369,0.00198137202549224,0.0029864704885478803,0.180929681280433
baseline_noce,AFW,Final Energy|Transportation|Gases,EJ/yr,,0.00029636526645455204,0.0080606857489756,4.36725113357378e-11,1.80329272768499e-11,4.25321720379328e-11
baseline_noce,AFW,Final Energy|Transportation|Gases|Gas,EJ/yr,,0.00029636526645455204,0.0080606857489756,4.36725113357378e-11,1.80329272768499e-11,4.25321720379328e-11
baseline_noce,AFW,Final Energy|Transportation|Hydrogen,EJ/yr,,0.000164373089090725,0.000454289075820015,0.000958296519430533,0.00301018050418236,0.0060094164505683
baseline_noce,AFW,Final Energy|Transportation|Liquids,EJ/yr,0.727048689976103,0.831244315453895,0.971855149850055,1.18837390088778,1.42109594028691,1.7024011340187701
baseline_noce,AFW,Final Energy|Transportation|Liquids|Oil,EJ/yr,0.727048689976103,0.83124429888562,0.9674105975308159,1.16577928809028,1.36902671107697,1.58328768569828
baseline_noce,AFZ,Final Energy|Agriculture|Electricity,EJ/yr,0.029814002947800202,0.0326312261304713,0.0364529172144996,0.0396309209803763,0.0427334634027899,0.09007612715065891
baseline_noce,AFZ,Final Energy|Agriculture|Gases,EJ/yr,,,,6.351704222884979e-10,6.57165093006967e-10,4.99770711665311e-09
baseline_noce,AFZ,Final Energy|Agriculture|Liquids,EJ/yr,0.0776640076776893,0.08348817912499809,0.0896436462378797,0.0941766739537165,0.0980102375734231,0.091125412221871
baseline_noce,AFZ,Final Energy|Agriculture|Liquids|Oil,EJ/yr,0.0776640076776893,0.08348817912499809,0.0896436462378797,0.0941766732915665,0.0980102368260056,0.09112540484969049
baseline_noce,AFZ,Final Energy|Agriculture|Solids,EJ/yr,0.0354070035019819,0.0405720876230072,0.0472395630400083,0.0530929621456708,0.0591202260334445,0.0415718598229447
baseline_noce,AFZ,Final Energy|Agriculture|Solids|Coal,EJ/yr,0.0193840019169376,0.0214295930013644,0.023939782357473502,0.0260268777929924,0.0280644154527949,0.00212720332562032
baseline_noce,AFZ,Final Energy|Industry|Electricity,EJ/yr,0.484649999460876,0.410640308653618,0.39170566250155203,0.408877424080199,0.446703392027061,0.598947170599928
baseline_noce,AFZ,Final Energy|Industry|Gases,EJ/yr,0.0969289999595775,0.0929791245004521,0.0789306007007239,0.0778055754416607,0.0633014237785023,0.020761550216241702
baseline_noce,AFZ,Final Energy|Industry|Gases|Gas,EJ/yr,0.0969289999595775,0.0929791245004521,0.0789306007007239,0.0778055754054035,0.0633014237380458,0.0207615501731584
baseline_noce,AFZ,Final Energy|Industry|Hydrogen,EJ/yr,,0.000178450127792923,2.99200973012831e-10,1.95718730455374e-09,0.00266400108788782,0.00957373262304617
baseline_noce,AFZ,Final Energy|Industry|Heat,EJ/yr,,0.0005014583034532009,0.00138613750106349,0.0027334913605453603,0.010378729315018998,0.511800050896667
baseline_noce,AFZ,Final Energy|Industry|Liquids,EJ/yr,0.18059299993925101,0.153987794600493,0.13165386671589,0.108466523600466,0.08364495767081409,0.40154485567767
baseline_noce,AFZ,Final Energy|Industry|Liquids|Oil,EJ/yr,0.18059299993925101,0.153987794600493,0.13165386671589,0.108466523563042,0.0836449576258917,0.40154485507906
