Scenario,Panel,Scope,Series,Year,Value,Unit,Role
baseline_noce,b,Emitter regions,Eastern Africa,2050,1.69303199546385,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Other model regions,2019,336.10609135441814,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Other model regions,2050,4.520034996491418,MtCO2e/yr,plotted
baseline_noce,c,Selected emitters,Selected emitter coverage,2019,84.92866296934486,%,context
baseline_noce,c,Selected emitters,Selected emitter coverage,2024,84.96054271952977,%,context
baseline_noce,c,Selected emitters,Selected emitter coverage,2030,87.55707687802742,%,context
baseline_noce,c,Selected emitters,Selected emitter coverage,2035,90.14768514971198,%,context
baseline_noce,c,Selected emitters,Selected emitter coverage,2040,94.02172684923539,%,context
baseline_noce,c,Selected emitters,Selected emitter coverage,2050,99.97360503972563,%,context
baseline_noce,c,Emitter regions,China region,2019,126.730538538385,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,China region,2050,40.6316439960416,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Gulf & Iran,2019,16.8855200107169,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Gulf & Iran,2050,3.8331710156634298,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Russia,2019,7.8262507805648704,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Russia,2050,2.1603423550204,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Southern Africa,2019,4.38043695969361,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Southern Africa,2050,1.37064309852772,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Other Asia–Pacific,2019,2.571133970798,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Other Asia–Pacific,2050,0.830322145002076,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Indonesia group,2019,0.804472116479327,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Indonesia group,2050,0.68864548310078,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Northern Africa,2019,0.828690869819345,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Northern Africa,2050,0.38679653872552,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Central Asia group,2019,1.36360794289003,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Central Asia group,2050,0.384334459667037,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,India,2019,12.3024955965168,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,India,2050,0.3637750632897299,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Mexico,2019,0.0016013373463235,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Mexico,2050,0.260391367048569,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,West & Central Africa,2019,0.383592114677086,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,West & Central Africa,2050,0.156983682322067,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Other Latin America,2019,1.36133094479526,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Other Latin America,2050,0.0714100298061601,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Other model regions,2019,31.133310245281084,MtCO2e/yr,plotted
baseline_noce,c,Emitter regions,Other model regions,2050,0.0135015397258499,MtCO2e/yr,plotted
