Scenario,Scope,Series,Year,Value,Unit,Figure
baseline_noce,EUM,Clinker,2024,59.2832985609418,Mt/yr,production_cement_eum
baseline_noce,EUM,Clinker,2030,58.4137651735762,Mt/yr,production_cement_eum
baseline_noce,EUM,Clinker,2035,57.7628188633195,Mt/yr,production_cement_eum
baseline_noce,EUM,Clinker,2040,55.811905799489,Mt/yr,production_cement_eum
baseline_noce,EUM,Clinker,2050,51.9466713202322,Mt/yr,production_cement_eum
baseline_noce,EUM,Total,2019,52.9707615348957,Mt/yr,production_steel_eum
baseline_noce,EUM,Total,2024,44.4159837900278,Mt/yr,production_steel_eum
baseline_noce,EUM,Total,2030,40.3107495075571,Mt/yr,production_steel_eum
baseline_noce,EUM,Total,2035,36.5498254435119,Mt/yr,production_steel_eum
baseline_noce,EUM,Total,2040,33.1596967011398,Mt/yr,production_steel_eum
baseline_noce,EUM,Total,2050,,Mt/yr,production_steel_eum
baseline_noce,EUM,Primary,2019,21.5991967067637,Mt/yr,production_steel_eum
baseline_noce,EUM,Primary,2024,18.2625950187116,Mt/yr,production_steel_eum
baseline_noce,EUM,Primary,2030,13.0104436880835,Mt/yr,production_steel_eum
baseline_noce,EUM,Primary,2035,10.5941527865039,Mt/yr,production_steel_eum
baseline_noce,EUM,Primary,2040,13.8280707274653,Mt/yr,production_steel_eum
baseline_noce,EUM,Primary,2050,27.2269714174146,Mt/yr,production_steel_eum
baseline_noce,EUM,Secondary,2019,31.371564828132,Mt/yr,production_steel_eum
baseline_noce,EUM,Secondary,2024,26.1533887713162,Mt/yr,production_steel_eum
baseline_noce,EUM,Secondary,2030,27.3003058194736,Mt/yr,production_steel_eum
baseline_noce,EUM,Secondary,2035,25.955672657008,Mt/yr,production_steel_eum
baseline_noce,EUM,Secondary,2040,19.3316259736745,Mt/yr,production_steel_eum
baseline_noce,EUM,Secondary,2050,,Mt/yr,production_steel_eum
baseline_noce,EUM,Total,2019,4.219999991142858,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Total,2024,2.694470028617829,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Total,2030,2.51933999635217,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Total,2035,2.51933999905258,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Total,2040,2.4475999699784348,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Total,2050,,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Primary,2019,0.849999992894308,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Primary,2024,0.872380934138219,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Primary,2030,1.20967350905079,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Primary,2035,1.16478786146461,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Primary,2040,2.14797998326601,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Primary,2050,2.14797998372544,Mt/yr,production_aluminium_eum
